
ODKAZ;KLUCOVE SLOVO;TOP;SCORE_2018/19;SCORE_2020/21;SCORE_2022/23
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"b12 benefits";"63.695238095238096";"82.79047619047618";"85.61320754716981"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin c skin benefits";"65.72380952380952";"71.3047619047619";"81.17924528301887"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"benefits of vitamin a";"73.79047619047618";"70.44761904761904";"81.73584905660377"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin e capsule";"74.20952380952382";"78.64761904761905";"67.4245283018868"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin c and zinc benefits";"3.104761904761905";"46.75238095238095";"34.24528301886792"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin b12 injection benefits";"2.6952380952380954";"9.123809523809523";"43.95283018867924"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin d3 benefits for women";"0.9523809523809523";"1.7904761904761906";"36.971698113207545"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin e capsule";"74.20952380952382";"78.64761904761905";"67.4245283018868"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin c and zinc benefits";"3.104761904761905";"46.75238095238095";"34.24528301886792"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin d3 benefits for women";"0.9523809523809523";"1.7904761904761906";"36.971698113207545"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin c skin benefits";"65.72380952380952";"71.3047619047619";"81.17924528301887"
"https://www.medicalnewstoday.com/articles/219352#summary";"benefits vitamin";"vitamin b12 injection benefits";"2.6952380952380954";"9.123809523809523";"43.95283018867924"
"";"undefined";"undefined";"undefined";"undefined";"undefined"
