ODKAZ;KLUCOVE SLOVO;TOP;SKORE-18;SKORE-19;SKORE-20;SKORE-21;SKORE-22;SKORE-23
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;food diet;diet food list;65;65;65;73;77;75
https://www.goodto.com/wellbeing/sugar-free-diet-83093;plan sugar;diet plan;64;62;63;73;77;72
https://www.sciencedaily.com/releases/2022/01/220110145249.htm;dietary recommendations;diet recommendations;58;60;64;63;63;63
https://www.eatingwell.com/article/69763/5-of-the-healthiest-fish-to-eat-and-5-to-avoid/;seafood diet;fish diet;79;77;76;80;79;82
https://www.sciencedaily.com/releases/2010/05/100504124740.htm;flaxseed diet;flaxseed oil diet;14;10;7;10;7;13
https://newsroom.heart.org/news/eating-more-plant-foods-may-lower-heart-disease-risk-in-young-adults-older-women;foods diets;food diets;77;80;73;76;72;73
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;food diet;food for diet;87;82;86;83;86;88
https://pubmed.ncbi.nlm.nih.gov/37759216/;diet index;glycemic diet;76;78;71;69;16;67
https://pubmed.ncbi.nlm.nih.gov/37759216/;diet index;glycemic index diet;66;62;57;62;52;67
https://cancer.osu.edu/blog/cancer-and-food-whole-grains;diet grain;grain free diet;56;48;60;73;67;69
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;diet beef;ground beef diet;64;54;46;53;52;60
https://doh.wa.gov/community-and-environment/food/fish/health-benefits;healthy diet;healthy food diet;78;78;82;81;80;82
https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-plant-based-diet-is-encouraged-for-patients-with-cancer/;fiber diet;high fiber diet;68;66;71;72;75;79
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;cheese for diet;73;57;68;64;70;66
https://health.clevelandclinic.org/cottage-cheese-benefits;cheese diet;keto diet;51;51;51;56;59;60
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;meats diet;keto diet meats;24;39;31;16;15;5
https://www.verywellfit.com/what-is-a-no-sugar-diet-2507715;sugar diets;low sugar diets;8;4;4;4;11;6
https://news.cancerresearchuk.org/2015/10/26/processed-meat-and-cancer-what-you-need-to-know/;meat results;meat diet;76;75;68;74;80;69
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diets;mediterranean diet;17;21;27;36;53;59
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diet;mediterranean diet recipes;22;30;33;39;45;41
https://health.clevelandclinic.org/pescatarian-diet;foods pescatarian;pescatarian diet;47;59;40;65;69;63
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;diet meat;red meat diet;60;71;59;64;70;64
https://www.verywellfit.com/what-is-a-no-sugar-diet-2507715;sugar diets;sugar diet;74;54;68;81;84;80
https://www.goodto.com/wellbeing/sugar-free-diet-83093;plan sugar;sugar diet plan;61;55;62;57;60;74
https://www.verywellhealth.com/red-meat-bad-for-you-8414588;diet meat;the meat diet;78;70;70;69;74;77
https://www.verywellhealth.com/mediterranean-diet-lean-beef-5184005;mediterranean diet;the mediterranean diet;22;28;35;39;59;57
https://www.mdpi.com/2308-3425/10/3/94;vegan diet;the vegan diet;63;55;56;69;75;65
https://www.mdpi.com/2308-3425/10/3/94;diets vegan;vegan diet;64;58;47;73;70;45
https://www.mdpi.com/2308-3425/10/3/94;vegan diet;vegan diet plan;56;52;43;61;59;37
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;vegetarian diets;vegan diets;59;61;52;57;62;60
https://www.frontiersin.org/articles/10.3389/fcvm.2021.756810/full;vegetarian diets;vegetarian diet;71;71;61;76;81;74
https://www.mdpi.com/2308-3425/10/3/94;vegan diets;vegetarian diets;61;51;58;62;49;57
https://www.sciencemediacentre.org/expert-reaction-to-study-on-the-vegetarian-diet-and-diabetes-risk/;diet health;what is diet;68;67;74;77;82;80
https://health.clevelandclinic.org/pescatarian-diet;pescatarian diet;what is pescatarian diet;2;8;13;21;42;25
https://cancer.osu.edu/blog/cancer-and-food-whole-grains;diet grain;whole grain diet;60;64;62;67;74;64
;;;;;;;;
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;b12;90;85;86;92;91;91
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;vitamin b12;84;79;84;91;88;90
https://www.medicalnewstoday.com/articles/219352#summary;benefits vitamin;b12 benefits;78;65;84;90;88;92
https://www.medicalnewstoday.com/articles/219352#summary;vitamin benefits;vitamin b12 benefits;64;52;79;87;87;88
